day,month,year,continentExp,Country,cases,deaths,Doses administered per 100 people,Total doses administered,% of population vaccinated
12,10,2020,Europe,Albania,168,4,106,3025728,47.0
11,10,2020,Europe,Albania,165,3,106,3025728,47.0
10,10,2020,Europe,Albania,167,2,106,3025728,47.0
9,10,2020,Europe,Albania,169,4,106,3025728,47.0
8,10,2020,Europe,Albania,162,4,106,3025728,47.0
7,10,2020,Europe,Albania,158,3,106,3025728,47.0
6,10,2020,Europe,Albania,144,4,106,3025728,47.0
5,10,2020,Europe,Albania,149,4,106,3025728,47.0
4,10,2020,Europe,Albania,152,3,106,3025728,47.0
3,10,2020,Europe,Albania,159,1,106,3025728,47.0
2,10,2020,Europe,Albania,157,1,106,3025728,47.0
1,10,2020,Europe,Albania,131,3,106,3025728,47.0
30,9,2020,Europe,Albania,127,4,106,3025728,47.0
29,9,2020,Europe,Albania,132,3,106,3025728,47.0
28,9,2020,Europe,Albania,106,2,106,3025728,47.0
27,9,2020,Europe,Albania,108,2,106,3025728,47.0
26,9,2020,Europe,Albania,124,3,106,3025728,47.0
25,9,2020,Europe,Albania,134,0,106,3025728,47.0
24,9,2020,Europe,Albania,121,3,106,3025728,47.0
23,9,2020,Europe,Albania,131,3,106,3025728,47.0
22,9,2020,Europe,Albania,150,2,106,3025728,47.0
21,9,2020,Europe,Albania,159,4,106,3025728,47.0
20,9,2020,Europe,Albania,153,5,106,3025728,47.0
19,9,2020,Europe,Albania,125,5,106,3025728,47.0
18,9,2020,Europe,Albania,132,5,106,3025728,47.0
17,9,2020,Europe,Albania,144,3,106,3025728,47.0
16,9,2020,Europe,Albania,152,2,106,3025728,47.0
15,9,2020,Europe,Albania,167,4,106,3025728,47.0
14,9,2020,Europe,Albania,168,4,106,3025728,47.0
13,9,2020,Europe,Albania,164,3,106,3025728,47.0
12,9,2020,Europe,Albania,161,3,106,3025728,47.0
11,9,2020,Europe,Albania,156,2,106,3025728,47.0
